Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,rt,stimulus,key_press,test_part,correct_response,trial_type,trial_index,time_elapsed,internal_node_id,correct,success,browser_events,view_history,grid,target,p_or_r,block,first_response,trial_number,sequence,is_practice,correct_pos,correct_resp_button,resp_button,cumulative_RT,actual_triplet,triplet_type
11,1708881760644,25/02/2024 17:22:40,1708881760560,1,25/02/2024 18:22:40,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,550.5999999046326,,83,,,serial-reaction-time,10,213315,0.0-80.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,8,3412,1,1,s,s,550.5999999046326,221,X
12,1708881761592,25/02/2024 17:22:41,1708881761516,1,25/02/2024 18:22:41,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,429.2000002861023,,76,,,serial-reaction-time,11,214271,0.0-91.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,9,3412,1,4,l,l,429.2000002861023,214,X
13,1708881762740,25/02/2024 17:22:42,1708881762670,1,25/02/2024 18:22:42,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,630.6000003814697,,74,,,serial-reaction-time,12,215425,0.0-102.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,10,3412,1,3,j,j,630.6000003814697,143,X
14,1708881763811,25/02/2024 17:22:43,1708881763731,1,25/02/2024 18:22:43,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,533.9000000953674,,74,,,serial-reaction-time,13,216485,0.0-113.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,11,3412,1,3,j,j,533.9000000953674,433,X
15,1708881764765,25/02/2024 17:22:44,1708881764686,1,25/02/2024 18:22:44,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,429.30000019073486,,74,,,serial-reaction-time,14,217440,0.0-124.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,12,3412,1,3,j,j,429.30000019073486,333,X
16,1708881765702,25/02/2024 17:22:45,1708881765615,1,25/02/2024 18:22:45,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,403,,74,,,serial-reaction-time,15,218370,0.0-135.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,13,3412,1,3,j,j,403,333,X
17,1708881766795,25/02/2024 17:22:46,1708881766714,1,25/02/2024 18:22:46,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,575.6999998092651,,76,,,serial-reaction-time,16,219469,0.0-146.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,14,3412,1,4,l,l,575.6999998092651,334,X
18,1708881767728,25/02/2024 17:22:47,1708881767648,1,25/02/2024 18:22:47,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,406.90000009536743,,76,,,serial-reaction-time,17,220403,0.0-157.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,15,3412,1,4,l,l,406.90000009536743,344,X
19,1708881768649,25/02/2024 17:22:48,1708881768575,1,25/02/2024 18:22:48,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,402.09999990463257,,76,,,serial-reaction-time,18,221330,0.0-168.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,16,3412,1,4,l,l,402.09999990463257,444,X
20,1708881769885,25/02/2024 17:22:49,1708881769811,1,25/02/2024 18:22:49,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,714.6999998092651,,70,,,serial-reaction-time,19,222565,0.0-179.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,17,3412,1,2,f,f,714.6999998092651,442,X
21,1708881770876,25/02/2024 17:22:50,1708881770793,1,25/02/2024 18:22:50,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,460.40000009536743,,70,,,serial-reaction-time,20,223548,0.0-190.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,18,3412,1,2,f,f,460.40000009536743,422,X
22,1708881771814,25/02/2024 17:22:51,1708881771737,1,25/02/2024 18:22:51,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,417.90000009536743,,76,,,serial-reaction-time,21,224492,0.0-201.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,19,3412,1,4,l,l,417.90000009536743,224,X
23,1708881772924,25/02/2024 17:22:52,1708881772846,1,25/02/2024 18:22:52,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,584.5999999046326,,74,,,serial-reaction-time,22,225601,0.0-212.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,20,3412,1,3,j,j,584.5999999046326,243,X
24,1708881773925,25/02/2024 17:22:53,1708881773844,1,25/02/2024 18:22:53,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,471.09999990463257,,83,,,serial-reaction-time,23,226599,0.0-223.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,21,3412,1,1,s,s,471.09999990463257,431,X
25,1708881774809,25/02/2024 17:22:54,1708881774736,1,25/02/2024 18:22:54,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,368.69999980926514,,76,,,serial-reaction-time,24,227491,0.0-234.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,22,3412,1,4,l,l,368.69999980926514,314,X
26,1708881775942,25/02/2024 17:22:55,1708881775882,1,25/02/2024 18:22:55,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,620.5,,70,,,serial-reaction-time,25,228637,0.0-245.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,23,3412,1,2,f,f,620.5,142,X
27,1708881776804,25/02/2024 17:22:56,1708881776726,1,25/02/2024 18:22:56,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,322.5,,74,,,serial-reaction-time,26,229481,0.0-256.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,24,3412,1,3,j,j,322.5,423,X
28,1708881777688,25/02/2024 17:22:57,1708881777611,1,25/02/2024 18:22:57,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,359.3999996185303,,83,,,serial-reaction-time,27,230366,0.0-267.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,25,3412,1,1,s,s,359.3999996185303,231,X
29,1708881778659,25/02/2024 17:22:58,1708881778593,1,25/02/2024 18:22:58,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,455.90000009536743,,83,,,serial-reaction-time,28,231348,0.0-278.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,26,3412,1,1,s,s,455.90000009536743,311,X
30,1708881779836,25/02/2024 17:22:59,1708881779756,1,25/02/2024 18:22:59,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,637.0999999046326,,74,,,serial-reaction-time,29,232511,0.0-289.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,27,3412,1,3,j,j,637.0999999046326,113,X
31,1708881780861,25/02/2024 17:23:00,1708881780792,1,25/02/2024 18:23:00,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,510.19999980926514,,83,,,serial-reaction-time,30,233547,0.0-300.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,28,3412,1,1,s,s,510.19999980926514,131,X
32,1708881781896,25/02/2024 17:23:01,1708881781820,1,25/02/2024 18:23:01,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,504.7000002861023,,76,,,serial-reaction-time,31,234575,0.0-311.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,29,3412,1,4,l,l,504.7000002861023,314,X
33,1708881782820,25/02/2024 17:23:02,1708881782748,1,25/02/2024 18:23:02,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,403.40000009536743,,83,,,serial-reaction-time,32,235503,0.0-322.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,30,3412,1,1,s,s,403.40000009536743,141,X
34,1708881783904,25/02/2024 17:23:03,1708881783816,1,25/02/2024 18:23:03,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,543.9000000953674,,74,,,serial-reaction-time,33,236571,0.0-333.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,31,3412,1,3,j,j,543.9000000953674,413,X
35,1708881784886,25/02/2024 17:23:04,1708881784808,1,25/02/2024 18:23:04,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,469.09999990463257,,83,,,serial-reaction-time,34,237563,0.0-344.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,32,3412,1,1,s,s,469.09999990463257,131,X
36,1708881786008,25/02/2024 17:23:06,1708881785930,1,25/02/2024 18:23:05,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,604.8000001907349,,74,,,serial-reaction-time,35,238685,0.0-355.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,33,3412,1,3,j,j,604.8000001907349,313,X
37,1708881786925,25/02/2024 17:23:06,1708881786853,1,25/02/2024 18:23:06,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,398.6000003814697,,74,,,serial-reaction-time,36,239608,0.0-366.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,34,3412,1,3,j,j,398.6000003814697,133,X
38,1708881787921,25/02/2024 17:23:07,1708881787850,1,25/02/2024 18:23:07,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,474,,83,,,serial-reaction-time,37,240605,0.0-377.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,35,3412,1,1,s,s,474,331,X
39,1708881789004,25/02/2024 17:23:09,1708881788929,1,25/02/2024 18:23:08,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,553.4000000953674,,76,,,serial-reaction-time,38,241684,0.0-388.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,36,3412,1,4,l,l,553.4000000953674,314,X
40,1708881790050,25/02/2024 17:23:10,1708881789983,1,25/02/2024 18:23:09,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,528.9000000953674,,74,,,serial-reaction-time,39,242738,0.0-399.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,37,3412,1,3,j,j,528.9000000953674,143,X
41,1708881790977,25/02/2024 17:23:10,1708881790892,1,25/02/2024 18:23:10,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,384.30000019073486,,74,,,serial-reaction-time,40,243647,0.0-410.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,38,3412,1,3,j,j,384.30000019073486,433,X
42,1708881792085,25/02/2024 17:23:12,1708881791996,1,25/02/2024 18:23:11,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,582.5,,83,,,serial-reaction-time,41,244751,0.0-421.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,39,3412,1,1,s,s,582.5,331,X
43,1708881793239,25/02/2024 17:23:13,1708881793167,1,25/02/2024 18:23:13,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,641,,70,,,serial-reaction-time,42,245922,0.0-432.0-0.0,1,,[],,"[[1,1,1,1]]","[0,1]",R,1,1,40,3412,1,2,f,f,641,312,X
44,1708881794268,25/02/2024 17:23:14,1708881794186,1,25/02/2024 18:23:14,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,492.90000009536743,,74,,,serial-reaction-time,43,246941,0.0-443.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,41,3412,1,3,j,j,492.90000009536743,123,X
45,1708881795159,25/02/2024 17:23:15,1708881795090,1,25/02/2024 18:23:15,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,381.7000002861023,,76,,,serial-reaction-time,44,247845,0.0-454.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,42,3412,1,4,l,l,381.7000002861023,234,X
46,1708881796236,25/02/2024 17:23:16,1708881796170,1,25/02/2024 18:23:16,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,557.2000002861023,,76,,,serial-reaction-time,45,248925,0.0-465.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,43,3412,1,4,l,l,557.2000002861023,344,X
47,1708881797241,25/02/2024 17:23:17,1708881797167,1,25/02/2024 18:23:17,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,472.30000019073486,,76,,,serial-reaction-time,46,249922,0.0-476.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,44,3412,1,4,l,l,472.30000019073486,444,X
48,1708881798211,25/02/2024 17:23:18,1708881798145,1,25/02/2024 18:23:18,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,455.80000019073486,,83,,,serial-reaction-time,47,250900,0.0-487.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,45,3412,1,1,s,s,455.80000019073486,441,X
49,1708881799281,25/02/2024 17:23:19,1708881799215,1,25/02/2024 18:23:19,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,544.0999999046326,,76,,,serial-reaction-time,48,251970,0.0-498.0-0.0,1,,[],,"[[1,1,1,1]]","[0,3]",R,1,1,46,3412,1,4,l,l,544.0999999046326,414,X
50,1708881800245,25/02/2024 17:23:20,1708881800173,1,25/02/2024 18:23:20,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,435.09999990463257,,83,,,serial-reaction-time,49,252928,0.0-509.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,47,3412,1,1,s,s,435.09999990463257,141,X
51,1708881801360,25/02/2024 17:23:21,1708881801269,1,25/02/2024 18:23:21,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,569.0999999046326,,74,,,serial-reaction-time,50,254023,0.0-520.0-0.0,1,,[],,"[[1,1,1,1]]","[0,2]",R,1,1,48,3412,1,3,j,j,569.0999999046326,413,X
52,1708881802484,25/02/2024 17:23:22,1708881802388,1,25/02/2024 18:23:22,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,598.1999998092651,,83,,,serial-reaction-time,51,255143,0.0-531.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,49,3412,1,1,s,s,598.1999998092651,131,X
53,1708881803417,25/02/2024 17:23:23,1708881803343,1,25/02/2024 18:23:23,143587,31,task-7kgt,,35489971,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x900,,,,Alternating Serial Reaction Time (ASRT) task,37,DGS,430.1000003814697,,83,,,serial-reaction-time,52,256098,0.0-542.0-0.0,1,,[],,"[[1,1,1,1]]","[0,0]",R,1,1,50,3412,1,1,s,s,430.1000003814697,311,X
